usuario,plataformas,n_msgs,n_palabras,tema_dominante,tema_pct,sub_dominante,sub_pct,n_temas_distintos,n_subs_distintos
Twitter::@MonicaVTampico,Twitter,3,36,T13,27.8,T13_S0,16.7,15,21
Twitter::@Omusubidon3456,Twitter,1,1,T02,100.0,T02_S0,100.0,1,1
Twitter::@RevistaDebateMX,Twitter,2,13,T02,23.1,T02_S0,23.1,9,10
Twitter::@VoxPopuliNoti,Twitter,3,43,T16,25.6,T16_S0,18.6,10,13
Twitter::@gruponoticiaspc,Twitter,3,45,T16,31.1,T16_S0,22.2,13,18
Twitter::@hitmancenteno,Twitter,1,4,T07,25.0,T07_S7,25.0,4,4
YouTube::@1nsaneHdzG1718,YouTube,1,2,T24,50.0,T24_S0,50.0,2,2
YouTube::@4S1SL4V1D4,YouTube,1,3,T03,33.3,T03_S1,33.3,3,3
YouTube::@87bere,YouTube,1,2,T12,50.0,T12_S2,50.0,2,2
YouTube::@AS-9010,YouTube,1,3,T07,66.7,T07_S3,66.7,2,2
YouTube::@AbrahamarturoMendozaramos,YouTube,1,2,T08,50.0,T08_S1,50.0,2,2
YouTube::@AdalidSolano,YouTube,1,4,T22,25.0,T22_S0,25.0,4,4
YouTube::@AlTRe291,YouTube,1,3,T10,33.3,T10_S3,33.3,3,3
YouTube::@AldoantonioRochamar-pm5wz,YouTube,2,2,T07,100.0,T07_S1,50.0,1,2
YouTube::@AlejandraRamirez-f9i,YouTube,1,0,,0.0,,0.0,0,0
YouTube::@AlejandraVentura-b8s,YouTube,1,1,T07,100.0,T07_S1,100.0,1,1
YouTube::@Alejandro-o6v2n,YouTube,1,0,,0.0,,0.0,0,0
YouTube::@AlexVillal70,YouTube,1,0,,0.0,,0.0,0,0
YouTube::@AlexanderPereira-y4f,YouTube,1,0,,0.0,,0.0,0,0
YouTube::@AlfonsopreciadoPreciadoGonzale,YouTube,3,21,T21,19.0,T21_S3,19.0,10,11
YouTube::@AlfredoRodríguez-z8f,YouTube,1,1,T07,100.0,T07_S3,100.0,1,1
YouTube::@AliciaSandoval-l7h,YouTube,1,1,T00,100.0,T00_S1,100.0,1,1
YouTube::@AlmaSaldaña-u4x,YouTube,1,1,T07,100.0,T07_S3,100.0,1,1
YouTube::@AmeliaMendoza-y5z,YouTube,2,4,T07,25.0,T07_S7,25.0,4,4
YouTube::@AnaIsabelEsparzaMarín,YouTube,1,0,,0.0,,0.0,0,0
YouTube::@AnarosaGaribayGarcia,YouTube,1,2,T14,50.0,T14_S2,50.0,2,2
YouTube::@Ange-i6h,YouTube,1,1,T20,100.0,T20_S1,100.0,1,1
YouTube::@Angel-sq2hm,YouTube,1,2,T00,50.0,T07_S7,50.0,2,1
YouTube::@AngelGarcia-zz2lq,YouTube,1,2,T07,50.0,T07_S7,50.0,2,2
YouTube::@AngelGomez-kz9su,YouTube,1,0,,0.0,,0.0,0,0
YouTube::@AngelMacias-x3h,YouTube,1,3,T10,66.7,T10_S0,33.3,2,2
YouTube::@AngelVera-v2z,YouTube,1,3,T11,33.3,T11_S0,33.3,3,2
YouTube::@AngelaPicon-s8g,YouTube,1,3,T14,33.3,T14_S0,33.3,3,3
YouTube::@AngieAngiedeMexico,YouTube,1,23,T07,21.7,T07_S5,13.0,9,13
YouTube::@AngieCalvillo,YouTube,1,7,T07,28.6,T07_S1,28.6,6,6
YouTube::@Ansel74,YouTube,1,2,T24,50.0,T24_S1,50.0,2,2
YouTube::@AntonioFlores-u8d2z,YouTube,1,0,,0.0,,0.0,0,0
YouTube::@Antritroll,YouTube,1,1,T00,100.0,T00_S1,100.0,1,1
YouTube::@Arcenio-k7f,YouTube,1,2,T07,50.0,T07_S7,50.0,2,2
YouTube::@ArelyAntonietaVillamarFlores,YouTube,1,2,T07,100.0,T07_S2,100.0,1,1
YouTube::@Arigari21,YouTube,2,8,T10,62.5,T10_S0,37.5,3,3
YouTube::@ArturoRosales-d2y,YouTube,1,0,,0.0,,0.0,0,0
YouTube::@ArturoSolísTorres,YouTube,1,0,,0.0,,0.0,0,0
YouTube::@Asesorgalindo2026,YouTube,1,5,T07,40.0,T00_S1,40.0,3,4
YouTube::@AshleyAstrid1,YouTube,1,0,,0.0,,0.0,0,0
YouTube::@AtanasiaVázquezHernández,YouTube,1,4,T00,75.0,T00_S1,50.0,2,2
YouTube::@Atlas3ISam,YouTube,2,6,T15,50.0,T13_S1,33.3,3,2
YouTube::@AvrilLandaverde,YouTube,1,2,T07,50.0,T07_S1,50.0,2,2
YouTube::@BARBARAMAYEN,YouTube,1,4,T20,25.0,T20_S0,25.0,4,4
YouTube::@BL4CKSH33PT4TU,YouTube,1,2,T13,50.0,T13_S2,50.0,2,2
YouTube::@Barret777-k6d,YouTube,1,0,,0.0,,0.0,0,0
YouTube::@BasiGomez-l2e,YouTube,1,2,T13,50.0,T13_S3,50.0,2,2
YouTube::@BillGoldbergAustin,YouTube,1,7,T13,28.6,T13_S1,28.6,5,4
YouTube::@BodegacrysaHuatabampo-i7g,YouTube,1,0,,0.0,,0.0,0,0
YouTube::@BrithanygalileaCastellanoherna,YouTube,1,2,T07,50.0,T07_S1,50.0,2,2
YouTube::@C.Teresa-k2e,YouTube,1,4,T07,50.0,T03_S1,25.0,3,4
YouTube::@CELIAVILLALVAMONTERO,YouTube,1,3,T00,33.3,T00_S1,33.3,3,3
YouTube::@CarlaMo-qb5cq,YouTube,2,37,T07,29.7,T07_S1,10.8,16,23
YouTube::@CarlosEduardo-ul9rt,YouTube,2,15,T13,26.7,T13_S2,20.0,7,8
YouTube::@CarlosEscudero-r1p,YouTube,1,2,T09,50.0,T09_S4,50.0,2,2
YouTube::@CarmenGomez-q7m4x,YouTube,1,4,T00,25.0,T11_S4,25.0,4,3
YouTube::@CaroDiaz-m3g,YouTube,1,17,T07,23.5,T15_S0,11.8,10,12
YouTube::@CeliaDelrio-np8hd,YouTube,1,6,T20,33.3,T20_S0,33.3,5,5
YouTube::@CesarLeal-x1e,YouTube,1,0,,0.0,,0.0,0,0
YouTube::@CesiahKerennDanwingTrujillo,YouTube,1,2,T07,50.0,T07_S2,50.0,2,2
YouTube::@Chapas123able,YouTube,1,3,T00,66.7,T00_S1,66.7,2,2
YouTube::@CharliePérez-q9h,YouTube,4,5,T13,40.0,T13_S3,40.0,4,4
YouTube::@ChololokoPorro,YouTube,2,9,T00,44.4,T00_S2,22.2,6,6
YouTube::@Chrismax619,YouTube,1,3,T20,33.3,T20_S0,33.3,3,3
YouTube::@Chuy_-qd8yd,YouTube,1,15,T17,26.7,T17_S2,26.7,9,11
YouTube::@ClaudiaPeregrino-wj4lp,YouTube,1,8,T09,25.0,T23_S0,12.5,6,6
YouTube::@ClementsXXX-cf4ce,YouTube,1,3,T10,33.3,T10_S0,33.3,3,3
YouTube::@Coco-k3c,YouTube,1,7,T07,42.9,T07_S3,42.9,4,5
YouTube::@ConyyListingShafer,YouTube,1,3,T07,66.7,T07_S4,33.3,2,2
YouTube::@CristianJonathanRodríguezR-d4v,YouTube,1,30,T03,23.3,T25_S0,13.3,13,17
YouTube::@CristianLopez-y7p5y,YouTube,1,8,T11,25.0,T11_S4,25.0,7,6
YouTube::@CristinaTorres-fw1kw,YouTube,1,20,T07,25.0,T07_S3,10.0,10,14
YouTube::@CristoRey-o5d,YouTube,1,3,T14,33.3,T14_S2,33.3,3,3
YouTube::@Darey-v3y,YouTube,1,2,T07,100.0,T07_S5,50.0,1,2
YouTube::@DavidVilla30,YouTube,1,3,T07,33.3,T07_S5,33.3,3,3
YouTube::@DeAndra750,YouTube,2,17,T00,29.4,T20_S0,11.8,10,12
YouTube::@Deceivedword-u4z,YouTube,1,0,,0.0,,0.0,0,0
YouTube::@Diana-pl8yg,YouTube,1,5,T07,20.0,T07_S3,20.0,5,5
YouTube::@DianaGarcia-mw3id,YouTube,1,2,T10,50.0,T10_S3,50.0,2,1
YouTube::@DiegoBasilio-u7j,YouTube,1,2,T14,50.0,T14_S0,50.0,2,2
YouTube::@DoctorVeterinario,YouTube,1,1,T17,100.0,T17_S2,100.0,1,1
YouTube::@Dollymollymx,YouTube,1,0,,0.0,,0.0,0,0
YouTube::@DomelipabalderasChavana,YouTube,1,3,T07,66.7,T07_S1,33.3,2,3
YouTube::@DulceCorazónLealSosa,YouTube,1,6,T00,50.0,T11_S4,16.7,3,4
YouTube::@DulcineaBuendia,YouTube,1,2,T07,50.0,T07_S5,50.0,2,2
YouTube::@DylanFernando-t4g,YouTube,1,10,T10,40.0,T10_S0,30.0,4,7
YouTube::@ELYBERROCALJIMENEZ,YouTube,1,1,T07,100.0,T07_S1,100.0,1,1
YouTube::@EdnaAliciaCarrillo,YouTube,1,6,T20,16.7,T20_S0,16.7,6,6
YouTube::@EduvigesServin-w3s,YouTube,1,11,T07,45.5,T20_S0,18.2,4,8
YouTube::@Elaro-o2q,YouTube,1,4,T00,50.0,T07_S4,25.0,3,4
YouTube::@Elena-123-t4o,YouTube,1,9,T11,22.2,T11_S4,22.2,6,6
YouTube::@ElizaHernández-z5c,YouTube,1,5,T07,40.0,T00_S1,20.0,4,5
YouTube::@ElizaLeon-q2z,YouTube,1,12,T20,25.0,T22_S1,16.7,8,7
YouTube::@ElmerRoberto-y8x,YouTube,1,3,T20,33.3,T20_S0,33.3,3,3
YouTube::@ElogiaVera-f6w,YouTube,1,1,T18,100.0,T18_S1,100.0,1,1
YouTube::@EmilanoZapata-x1h6f,YouTube,1,2,T03,100.0,T03_S1,100.0,1,1
YouTube::@EmmanuelCatalán-t8p3v,YouTube,1,0,,0.0,,0.0,0,0
YouTube::@EmmanuelSánchez-j7l,YouTube,1,2,T07,50.0,T07_S1,50.0,2,2
YouTube::@Enrique-ys1gp,YouTube,1,2,T07,100.0,T07_S3,50.0,1,2
YouTube::@Esme-f2w,YouTube,1,3,T07,33.3,T07_S5,33.3,3,3
YouTube::@EugeniaLopez-y1d,YouTube,1,3,T24,33.3,T24_S3,33.3,3,3
YouTube::@EveliaRomero-w9m,YouTube,1,3,T15,33.3,T07_S2,33.3,3,1
YouTube::@EvelinRamirez-s3y,YouTube,2,2,T07,100.0,T07_S3,100.0,1,1
YouTube::@ExonReyes-m6r,YouTube,1,2,T12,50.0,T12_S0,50.0,2,2
YouTube::@Ezecruelgebar,YouTube,1,2,T20,50.0,T20_S0,50.0,2,2
YouTube::@FabiolaVillegas-y7h,YouTube,1,8,T07,37.5,T25_S3,12.5,5,6
YouTube::@FelisaSánchez-y5b,YouTube,3,12,T07,25.0,T07_S1,16.7,8,9
YouTube::@Fenix36042,YouTube,1,4,T20,25.0,T20_S0,25.0,4,3
YouTube::@Flatman-u3t,YouTube,1,6,T07,33.3,T17_S2,16.7,5,6
YouTube::@FranciscoHernández-b3e,YouTube,1,1,T07,100.0,T07_S1,100.0,1,1
YouTube::@FranciscoJavierOlivasUrquijo,YouTube,1,2,T09,50.0,T09_S1,50.0,2,2
YouTube::@FranciscoOber,YouTube,1,5,T07,40.0,T07_S5,40.0,4,4
YouTube::@FranciscoResendiz-m5j,YouTube,1,2,T20,50.0,T20_S0,50.0,2,2
YouTube::@FreddyFernandez-b5n,YouTube,1,5,T24,20.0,T24_S0,20.0,5,4
YouTube::@FromAnytown,YouTube,1,32,T13,15.6,T13_S1,9.4,17,21
YouTube::@GRGr-r1d,YouTube,1,8,T17,25.0,T17_S2,25.0,6,5
YouTube::@GabrielaM-q5u,YouTube,1,7,T13,14.3,T13_S0,14.3,7,7
YouTube::@GarciaGa,YouTube,1,8,T01,25.0,T01_S2,25.0,6,6
YouTube::@GeorginafajardoIII,YouTube,1,13,T10,23.1,T10_S0,23.1,10,10
YouTube::@GerardoReyna-zq6ho,YouTube,1,8,T03,37.5,T03_S0,37.5,4,5
YouTube::@Ginna-n6d,YouTube,1,4,T00,50.0,T18_S1,25.0,3,3
YouTube::@Gioconda144,YouTube,1,4,T23,25.0,T23_S0,25.0,4,4
YouTube::@GloriaBillar,YouTube,1,2,T07,50.0,T07_S5,50.0,2,2
YouTube::@Gm_G4-w8,YouTube,1,6,T04,16.7,T04_S4,16.7,6,6
YouTube::@Gonzo1611R,YouTube,1,6,T07,50.0,T07_S7,16.7,4,5
YouTube::@GrandRNomada,YouTube,1,19,T24,21.1,T24_S2,21.1,11,12
YouTube::@GregorEmilio,YouTube,1,4,T24,25.0,T24_S2,25.0,4,4
YouTube::@Guadalupe-ek1me,YouTube,1,2,T24,50.0,T24_S0,50.0,2,2
YouTube::@Guadalupe-x4h2e,YouTube,1,5,T00,40.0,T00_S1,40.0,4,4
YouTube::@GuadalupeGarcia-s6j,YouTube,1,8,T07,50.0,T07_S2,25.0,4,6
YouTube::@GuillerminaRivas-c5k,YouTube,1,6,T10,33.3,T20_S0,16.7,4,4
YouTube::@HOPE-yk8pm,YouTube,1,3,T09,33.3,T03_S1,33.3,3,2
YouTube::@Hircine888,YouTube,1,3,T07,100.0,T07_S6,33.3,1,3
YouTube::@HéctorOlguín-y7t,YouTube,1,4,T07,25.0,T07_S3,25.0,4,4
YouTube::@IgnacioVirgilio-l1o,YouTube,1,7,T24,28.6,T24_S2,28.6,6,6
YouTube::@IncrementaTuCartera,YouTube,1,5,T07,80.0,T07_S7,40.0,2,3
YouTube::@IsmaelLucio_13,YouTube,1,6,T00,33.3,T00_S1,33.3,5,5
YouTube::@IsraelHernández-f4n,YouTube,1,0,,0.0,,0.0,0,0
YouTube::@IsraelMartinez-p5w,YouTube,2,8,T07,37.5,T13_S0,25.0,5,6
YouTube::@JAIRHERNANDEZ-i5k1b,YouTube,2,0,,0.0,,0.0,0,0
YouTube::@JAMESBOND-ts2gw,YouTube,1,0,,0.0,,0.0,0,0
YouTube::@JGl3mil,YouTube,2,9,T10,22.2,T10_S0,22.2,7,5
YouTube::@Jajajaziel_Mendoza,YouTube,1,2,T24,50.0,T24_S0,50.0,2,2
YouTube::@JaninaVanessa1000,YouTube,1,15,T00,40.0,T00_S1,20.0,9,9
YouTube::@JaquelineCruz-g5z,YouTube,1,2,T00,50.0,T00_S1,50.0,2,2
YouTube::@JavierNunez-up5kj,YouTube,1,14,T00,21.4,T00_S1,21.4,11,12
YouTube::@JavierSalas-j9i,YouTube,1,1,T03,100.0,T03_S1,100.0,1,1
YouTube::@JefeDejefes-f8b,YouTube,2,0,,0.0,,0.0,0,0
YouTube::@JersonBautista-p6p,YouTube,1,3,T17,33.3,T17_S2,33.3,3,3
YouTube::@JesusAlejandrobg1,YouTube,1,14,T00,21.4,T13_S1,21.4,7,7
YouTube::@John-h1k6q,YouTube,1,3,T11,33.3,T11_S1,33.3,3,3
YouTube::@JorgePerez-kc3qg,YouTube,1,4,T07,50.0,T07_S3,50.0,3,3
YouTube::@JorgePerez-ov6jb,YouTube,1,3,T10,33.3,T13_S1,33.3,3,2
YouTube::@Jorgeluis-qp5ov,YouTube,1,1,T13,100.0,T13_S1,100.0,1,1
YouTube::@JoseantonioLinarestorres,YouTube,2,3,T00,66.7,T00_S1,66.7,2,2
YouTube::@JoséalfredoLunaVillegas-r4v,YouTube,1,1,T07,100.0,T07_S7,100.0,1,1
YouTube::@JovitaLopez-r3m,YouTube,1,2,T13,50.0,T13_S0,50.0,2,2
YouTube::@JuanAmaral-g8w,YouTube,1,8,T15,37.5,T15_S0,12.5,5,6
YouTube::@JuanJose-ir1rs,YouTube,1,3,T00,33.3,T00_S1,33.3,3,3
YouTube::@Julio-l7r4e,YouTube,3,15,T20,26.7,T13_S1,13.3,6,9
YouTube::@KarlaIsabelFlores,YouTube,1,3,T11,33.3,T21_S2,33.3,3,1
YouTube::@KarmenGuadalupe-z8t5c,YouTube,1,7,T14,14.3,T14_S2,14.3,7,6
YouTube::@KarymeMorales-t6c,YouTube,1,6,T24,33.3,T24_S0,33.3,4,5
YouTube::@KevinSantos-so9lm,YouTube,5,13,T07,61.5,T07_S2,30.8,4,9
YouTube::@KhanKarkasss,YouTube,1,6,T17,16.7,T17_S2,16.7,6,6
YouTube::@LAURACECILIANAFATE,YouTube,1,0,,0.0,,0.0,0,0
YouTube::@LIZELDAJAIMESGOMEZ,YouTube,1,4,T17,50.0,T17_S0,50.0,3,3
YouTube::@LP-ss3rq,YouTube,1,3,T07,66.7,T10_S0,33.3,2,3
YouTube::@Lachicadehumo4120,YouTube,1,9,T07,33.3,T07_S2,33.3,6,5
YouTube::@LadyPurpura,YouTube,1,3,T17,66.7,T07_S4,33.3,2,2
YouTube::@Leonardoramalc,YouTube,1,4,T02,25.0,T02_S0,25.0,4,3
YouTube::@LeonelLlovera-zp2gg,YouTube,1,3,T24,33.3,T24_S0,33.3,3,2
YouTube::@Leopiza-u5j3h,YouTube,1,1,T07,100.0,T07_S1,100.0,1,1
YouTube::@LeshoMuñoz,YouTube,1,5,T17,20.0,T17_S2,20.0,5,5
YouTube::@LeticiaDominguezMartinez,YouTube,1,4,T07,50.0,T10_S0,25.0,3,4
YouTube::@LetyCharls,YouTube,1,20,T20,30.0,T20_S0,25.0,13,14
YouTube::@LeónGaldósEuzkadi,YouTube,2,7,T06,14.3,T06_S1,14.3,7,7
YouTube::@Libelula08345,YouTube,1,0,,0.0,,0.0,0,0
YouTube::@Liliana-ut6ir,YouTube,2,10,T00,30.0,T25_S0,20.0,6,7
YouTube::@LilianaTorres-z9i,YouTube,1,3,T20,33.3,T20_S0,33.3,3,3
YouTube::@LilianasaraiCalderonperez,YouTube,1,0,,0.0,,0.0,0,0
YouTube::@LogistikosInmobiliaria,YouTube,1,7,T00,28.6,T20_S0,14.3,6,5
YouTube::@Lordciro2124,YouTube,1,0,,0.0,,0.0,0,0
YouTube::@LourdesJovitaSolisCruz-g5h3v,YouTube,2,14,T07,28.6,T11_S4,7.1,7,8
YouTube::@Luci_ww,YouTube,1,5,T07,40.0,T07_S3,40.0,4,4
YouTube::@LucyHernandez-sm8bd,YouTube,2,3,T10,33.3,T10_S0,33.3,3,3
YouTube::@Lucy_Lawless,YouTube,2,5,T00,40.0,T18_S1,20.0,4,4
YouTube::@LuisDiegoSalasRivas-dz2pk,YouTube,1,21,T07,9.5,T09_S3,9.5,14,15
YouTube::@LuisHerrera-b3h,YouTube,1,0,,0.0,,0.0,0,0
YouTube::@LuisTorres-kl1zv,YouTube,2,9,T00,44.4,T10_S0,22.2,4,3
YouTube::@LupitaLazaro-n8l,YouTube,1,0,,0.0,,0.0,0,0
YouTube::@Luzdemaria-y4p,YouTube,1,2,T00,100.0,T00_S1,100.0,1,1
YouTube::@MARIOGA-w8r,YouTube,1,0,,0.0,,0.0,0,0
YouTube::@MARTHA.Patito,YouTube,1,5,T07,80.0,T07_S1,40.0,2,3
YouTube::@MAVA1686,YouTube,1,6,T13,16.7,T13_S1,16.7,6,5
YouTube::@MEGA7155,YouTube,1,4,T15,50.0,T03_S1,25.0,3,3
YouTube::@MR-xo6sh,YouTube,1,5,T20,40.0,T20_S0,40.0,4,4
YouTube::@MS-gu6zu,YouTube,1,1,T15,100.0,,0.0,1,0
YouTube::@Maccinero2600,YouTube,1,3,T00,33.3,T00_S1,33.3,3,3
YouTube::@ManzanitaLGL,YouTube,1,8,T13,25.0,T23_S0,12.5,7,7
YouTube::@MariaChavez-sg6yi,YouTube,1,3,T00,66.7,T10_S0,33.3,2,1
YouTube::@MariaConcepcionCampuzano,YouTube,1,0,,0.0,,0.0,0,0
YouTube::@MariaCoreyLoyaReyes,YouTube,1,11,T07,36.4,T02_S0,18.2,5,8
YouTube::@MariaGonzales777-z3w,YouTube,1,0,,0.0,,0.0,0,0
YouTube::@MariaGutierrez-u7g2k,YouTube,1,2,T10,50.0,T10_S0,50.0,2,2
YouTube::@MariaMuñoz-f9p8r,YouTube,1,2,T24,50.0,T24_S0,50.0,2,2
YouTube::@MariaOrtiz-pc5kl,YouTube,1,1,T07,100.0,T07_S1,100.0,1,1
YouTube::@MariaTeresaVillanueva-jr9ch,YouTube,1,2,T14,50.0,T14_S0,50.0,2,2
YouTube::@MariaTorres-fj2bd,YouTube,1,8,T07,37.5,T21_S1,12.5,6,8
YouTube::@MariadelosangelesMartu,YouTube,1,0,,0.0,,0.0,0,0
YouTube::@MariojesusSánchezmartinez-o9q,YouTube,1,1,T12,100.0,T12_S0,100.0,1,1
YouTube::@MarisolMartinez-u2k,YouTube,1,7,T00,28.6,T10_S0,14.3,6,4
YouTube::@Marvin-uk9,YouTube,1,8,T11,25.0,T11_S4,25.0,6,7
YouTube::@MauricioMartinez-g6q1n,YouTube,1,5,T07,60.0,T07_S6,40.0,3,3
YouTube::@MayoloAguillonavalos,YouTube,1,4,T13,25.0,T13_S3,25.0,4,4
YouTube::@MeGustaVerlo,YouTube,1,3,T07,66.7,T07_S4,33.3,2,2
YouTube::@MelinTorres-k9v,YouTube,1,2,T06,100.0,T06_S0,50.0,1,2
YouTube::@MelyOrlaineta,YouTube,1,2,T07,50.0,T07_S2,50.0,2,2
YouTube::@MeyRamos99,YouTube,1,1,T00,100.0,T00_S1,100.0,1,1
YouTube::@Moises-z4n,YouTube,1,1,T25,100.0,T25_S0,100.0,1,1
YouTube::@MrLaboratorista,YouTube,1,3,T10,66.7,T10_S3,33.3,2,3
YouTube::@Mr_Dr_Tacco,YouTube,1,6,T07,50.0,T07_S1,33.3,4,5
YouTube::@MsBthy,YouTube,2,7,T07,42.9,T07_S1,14.3,5,7
YouTube::@NIKKYNAY777,YouTube,1,0,,0.0,,0.0,0,0
YouTube::@NataliaCalderón-o4w,YouTube,1,3,T00,33.3,T00_S1,33.3,3,3
YouTube::@NellyYolandaBardales,YouTube,1,1,T07,100.0,T07_S0,100.0,1,1
YouTube::@Nerisse-q5v2n,YouTube,1,12,T07,33.3,T20_S0,16.7,7,10
YouTube::@NoeCampos-l5j,YouTube,1,3,T07,100.0,T07_S1,100.0,1,1
YouTube::@NoheliaRuiz-r9v,YouTube,1,4,T13,50.0,T13_S2,50.0,3,2
YouTube::@Octubre-u2x,YouTube,1,0,,0.0,,0.0,0,0
YouTube::@OmarR-v8u,YouTube,1,9,T17,33.3,T17_S2,33.3,5,6
YouTube::@Origendelavida-qt6bn,YouTube,1,8,T09,25.0,T13_S2,25.0,6,7
YouTube::@Oscar-mex-v9s,YouTube,2,5,T07,40.0,T10_S0,20.0,4,4
YouTube::@OsirisLigonioLópez,YouTube,1,3,T07,33.3,T07_S1,33.3,3,3
YouTube::@PAL5940,YouTube,2,4,T07,50.0,T07_S1,50.0,3,2
YouTube::@PATRICIAHERRERADELRIO-x4i,YouTube,1,8,T07,25.0,T07_S7,25.0,7,6
YouTube::@PabloBarcenas-kb9hk,YouTube,1,1,T24,100.0,T24_S0,100.0,1,1
YouTube::@PanfiloHenandez,YouTube,3,5,T25,40.0,T25_S3,40.0,4,4
